#seq_name	length	cov.	circ.	repeat	mult.	alt_group	graph_path
contig_476	113217	40	N	N	1	*	-469,-469,-469,-469,-469,-469,-469,-469,-469,-469,-469,-469,-469,-469,-469,-469,-469,469,469,469,469,469,469,469,469,469,469,469,469,469,469,469,469,469,469,469,469,469,469,469,469,469,469,469,469,469,469,469,469,469,469,469,469,469,469,469,469,469,469,469,469,469,469,469,469,469,469,469,469,469,469,469,469,469,469,469,469,469,469,469,469,469,-472,469,469,469,469,469,469,469,469,469,469,469,476,626,625,625,625,628,625,625,626,625,625,625,625,625,625,625,625,625,625,625,625,625,625,625,625,625,625,625,625,625,625,625,625,625,625,625,625,625,625,625,626,625,625,625
contig_604	106812	44	N	N	1	*	585,586,680,604,-656
contig_683	99299	742	N	Y	21	*	683
contig_682	82990	656	N	Y	19	*	682
contig_672	66702	41	N	N	1	*	482,482,482,482,482,482,482,482,482,482,495,492,-538,672
contig_663	64765	38	N	N	1	*	*,663,*
contig_675	63645	46	N	N	1	*	675,541,542,546,544,547
contig_595	63309	53	N	N	2	*	595,588,588,588,588,588,588,588,590,588,588,588,588,588,588,588,588,588,588,588,588,588,588,588,588,590,588,588,588,588,590,588,588,588,588,588,588,588,588,588,588,588,588,588
contig_677	49991	46	N	N	1	*	-570,-570,-570,578,-516,-490,-490,-490,-490,677,584,679
contig_689	44467	43	N	Y	1	*	689
contig_549	39471	39	N	N	1	*	547,549,-687
contig_686	38835	44	N	N	1	*	686,-624,588
contig_532	37935	44	N	N	1	*	532,-547
contig_659	37639	39	N	Y	1	*	659
contig_685	35726	21	N	N	1	*	*,685,588,588,588,588,588,588,588,588,588,588,588,588,588,588,588,588,588,588,588,588,588,588,588,588,588,588,588,588,588,588,590,588,588,588
contig_688	35537	50	N	N	1	*	585,586,586,586,586,586,680,688,-617
contig_564	34739	44	N	N	1	*	-490,536,-576,-569,-569,-569,-568,-567,-567,-566,-563,-562,-562,-562,564
contig_463	30327	374	N	Y	374	*	*,463
contig_537	29516	44	N	Y	1	*	537
contig_593	28974	30	N	N	1	*	593,608,620,618,619,-607
contig_581	28014	37	N	N	1	*	*,581,641
contig_660	27651	36	N	N	1	*	-659,660,-659
contig_673	27590	36	N	N	2	*	482,482,482,482,482,482,482,482,482,482,482,482,482,482,482,482,482,482,482,482,482,482,482,482,482,482,482,482,482,482,482,482,482,482,482,482,482,482,673
contig_693	27250	207	N	Y	5	*	693
contig_662	27185	18	N	Y	1	10	*,662,*
contig_375	26283	151	N	N	4	*	375,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371
contig_656	26117	17	N	Y	1	*	656
contig_661	25831	47	N	Y	1	10	*,661,*
contig_514	24547	17	N	N	1	*	482,482,482,482,482,482,497,482,482,482,482,482,482,482,482,482,482,482,482,482,482,482,482,482,482,482,482,482,482,482,482,482,482,482,482,482,482,482,482,482,482,496,482,482,482,482,482,482,482,482,482,482,482,514,-513,-482,-482,-482,-482,-482,-482,-482,-482,-482,-482,-482,-482,-482,-482,-482,-482,-482,-482,-482
contig_468	24236	12	N	N	1	*	467,468,467
contig_98	22017	497	N	Y	248	*	98
contig_561	21898	26	N	N	1	*	553,556,554,555,560,561,562,562,562,562,563,566,567,567,568,569,569,569,569,569,569,569,576,-536,490,490
contig_66	21534	1037	N	Y	1037	*	*,66
contig_582	21425	16	N	Y	1	*	582
contig_649	20155	51	N	Y	1	*	649
contig_665	19632	20	N	N	1	*	*,665,*
contig_691	18480	126	N	Y	2	*	691
contig_654	17566	32	N	N	1	*	*,654,*
contig_594	15329	36	N	N	1	*	592,594,-624
contig_358	14275	834	N	Y	417	*	358
contig_655	13721	18	N	N	1	*	*,655,*
contig_302	11252	550	N	Y	183	*	302
contig_466	11226	11	N	Y	5	*	466
contig_631	11180	13	Y	Y	1	4	631
contig_312	11146	893	N	Y	297	*	312
contig_579	10793	125	N	N	5	*	*,579,*
contig_279	10789	887	N	Y	443	*	279
contig_262	10565	1028	N	Y	342	*	262
contig_664	10212	10	N	N	1	*	*,664,*
contig_642	9931	112	Y	N	5	*	642
contig_224	9549	465	N	Y	232	*	224
contig_667	9386	162	N	N	7	*	*,667,*
contig_198	9243	521	N	Y	130	*	198
contig_357	9131	9	N	Y	3	*	357
contig_220	8941	746	N	Y	248	*	220
contig_260	8732	80	N	Y	26	*	260
contig_77	8689	654	N	Y	327	*	77
contig_511	8597	109	N	Y	54	*	511
contig_42	7952	490	N	Y	245	*	42
contig_204	7930	1049	N	Y	524	*	204
contig_256	7630	431	N	Y	143	*	256
contig_146	7502	28	N	Y	9	*	146
contig_101	7264	249	N	Y	49	*	101
contig_437	7059	10	N	Y	3	*	437
contig_69	7026	986	N	Y	493	*	69
contig_34	6771	180	N	Y	60	*	34
contig_155	6602	216	N	Y	72	*	155
contig_93	6567	929	N	Y	309	*	93
contig_178	6539	1087	N	Y	362	*	178
contig_214	6481	1142	N	Y	285	*	214
contig_132	6274	135	N	Y	67	*	132
contig_212	6226	1014	N	Y	338	*	212
contig_474	6189	89	N	Y	29	*	474
contig_255	5842	190	N	Y	63	*	255
contig_244	5803	1176	N	Y	294	*	244
contig_73	5800	1000	N	Y	333	*	73
contig_27	5775	727	N	Y	242	*	27
contig_292	5755	273	N	Y	91	*	292
contig_552	5749	372	N	N	14	*	*,552,*
contig_315	5633	50	N	Y	12	*	315
contig_236	5527	10	N	Y	3	*	236
contig_353	5525	279	N	Y	69	*	353
contig_293	5467	656	N	Y	109	*	293
contig_38	5382	36	N	Y	12	*	38
contig_668	5322	44	Y	Y	1	*	668
contig_352	5253	583	N	Y	194	*	352
contig_235	5153	107	N	Y	35	*	235
contig_18	5072	1050	N	Y	262	*	18
contig_108	4943	12	N	Y	2	*	108
contig_136	4875	1029	N	Y	514	*	136
contig_273	4801	1011	N	Y	337	*	273
contig_55	4781	143	N	Y	47	*	55
contig_547	4754	81	N	Y	2	*	547
contig_650	4733	11	Y	Y	1	8	650
contig_105	4622	198	N	Y	66	*	105
contig_361	4270	10	N	Y	3	*	361
contig_16	4264	863	N	Y	172	*	16
contig_681	4175	969	N	Y	29	*	681
contig_153	4086	9	N	Y	2	*	153
contig_508	4065	155	N	Y	11	*	508
contig_351	3982	930	N	Y	465	*	351
contig_118	3967	75	N	Y	37	*	118
contig_510	3966	112	N	Y	56	*	510
contig_86	3960	149	N	Y	37	*	86
contig_505	3934	28	N	Y	1	*	505
contig_305	3918	320	N	Y	64	*	305
contig_22	3917	719	N	Y	143	*	22
contig_336	3883	17	N	Y	17	*	336
contig_506	3855	208	N	Y	69	*	506
contig_91	3852	107	N	Y	21	*	91
contig_168	3790	47	N	Y	15	*	168
contig_13	3661	12	N	Y	2	*	13
contig_438	3644	20	N	Y	10	*	438
contig_68	3623	10	N	Y	1	*	68
contig_145	3618	33	N	Y	8	*	145
contig_257	3556	10	N	Y	2	*	257
contig_57	3552	54	N	Y	10	*	57
contig_70	3460	12	N	Y	4	*	70
contig_648	3419	10	Y	Y	1	*	648
contig_553	3418	48	N	Y	2	*	553
contig_253	3392	16	N	Y	2	*	253
contig_102	3378	418	N	Y	69	*	102
contig_623	3346	35	N	N	1	*	*,623,*
contig_643	3286	30	Y	Y	1	*	643
contig_414	3267	51	N	Y	25	*	414
contig_15	3232	45	N	Y	9	*	15
contig_104	3225	157	N	Y	17	*	104
contig_254	3184	51	N	Y	8	*	254
contig_674	3092	36	N	Y	2	*	674
contig_135	3042	218	N	Y	109	*	135
contig_540	3028	16	N	Y	1	*	540
contig_398	2894	14	N	Y	4	*	398
contig_12	2877	534	N	Y	178	*	12
contig_228	2870	152	N	Y	30	*	228
contig_317	2861	137	N	Y	68	*	317
contig_151	2847	332	N	Y	9	*	151
contig_241	2832	29	N	Y	14	*	241
contig_137	2823	29	N	Y	7	*	137
contig_36	2819	53	N	Y	4	*	36
contig_71	2720	649	N	Y	72	*	71
contig_313	2637	176	N	Y	11	*	313
contig_166	2618	10	N	Y	1	*	166
contig_128	2576	593	N	Y	98	*	128
contig_456	2504	10	N	Y	5	*	456
contig_266	2498	30	N	Y	6	*	266
contig_174	2486	29	N	Y	2	*	174
contig_403	2484	11	N	Y	5	*	403
contig_461	2481	9	N	Y	4	*	461
contig_418	2422	20	N	Y	5	*	418
contig_180	2391	59	N	Y	29	*	180
contig_645	2389	25	Y	Y	1	*	645
contig_37	2297	479	N	Y	239	*	37
contig_50	2292	33	N	Y	16	*	50
contig_356	2263	63	N	Y	31	*	356
contig_251	2254	118	N	Y	6	*	251
contig_75	2198	26	N	Y	8	*	75
contig_644	2191	18	Y	Y	1	*	644
contig_331	2172	23	N	Y	11	*	331
contig_347	2167	62	N	Y	31	*	347
contig_112	2160	254	N	Y	12	*	112
contig_535	2155	10	N	Y	1	*	535
contig_342	2128	42	N	Y	21	*	342
contig_62	2099	9	N	Y	1	*	62
contig_138	2095	43	N	Y	1	*	138
contig_238	2084	12	N	Y	6	*	238
contig_498	2068	34	N	Y	1	*	498
contig_187	2064	48	N	Y	6	*	187
contig_169	2058	60	N	Y	6	*	169
contig_502	2041	30	N	Y	3	*	502
contig_150	1985	23	N	Y	3	*	150
contig_58	1975	1025	N	Y	42	*	58
contig_159	1972	140	N	Y	5	*	159
contig_232	1949	49	N	Y	24	*	232
contig_121	1939	658	N	Y	109	*	121
contig_259	1939	465	N	Y	22	*	259
contig_419	1926	9	N	Y	1	*	419
contig_401	1925	14	N	Y	7	*	401
contig_445	1913	10	N	Y	2	*	445
contig_172	1897	92	N	Y	46	*	172
contig_53	1896	10	N	Y	1	*	53
contig_494	1890	22	N	Y	1	*	494
contig_39	1883	45	N	Y	4	*	39
contig_399	1878	16	N	Y	8	*	399
contig_252	1876	1095	N	Y	273	*	252
contig_573	1875	10	N	Y	1	*	573
contig_426	1852	28	N	Y	14	*	426
contig_415	1852	9	N	Y	4	*	415
contig_164	1851	146	N	Y	73	*	164
contig_190	1848	346	N	Y	86	*	190
contig_309	1832	274	N	Y	45	*	309
contig_272	1825	53	N	Y	3	*	272
contig_278	1814	31	N	Y	4	*	278
contig_76	1808	26	N	Y	1	*	76
contig_177	1807	18	N	Y	6	*	177
contig_441	1802	11	N	Y	3	*	441
contig_188	1791	105	N	Y	52	*	188
contig_392	1787	13	N	Y	1	*	392
contig_52	1750	1056	N	Y	58	*	52
contig_287	1745	115	N	Y	3	*	287
contig_493	1673	16	N	Y	1	*	493
contig_268	1667	46	N	Y	23	*	268
contig_283	1646	312	N	Y	156	*	283
contig_376	1646	17	N	Y	1	*	376
contig_229	1623	87	N	Y	43	*	229
contig_100	1599	816	N	Y	408	*	100
contig_311	1593	10	N	Y	2	*	311
contig_80	1593	12	N	Y	6	*	80
contig_84	1590	94	N	Y	47	*	84
contig_390	1583	10	N	Y	1	*	390
contig_301	1582	143	N	Y	7	*	301
contig_322	1565	57	N	Y	9	*	322
contig_291	1526	24	N	Y	1	*	291
contig_394	1522	10	N	Y	1	*	394
contig_423	1520	9	N	Y	4	*	423
contig_161	1504	151	N	Y	50	*	161
contig_117	1504	94	N	Y	31	*	117
contig_443	1463	9	N	Y	4	*	443
contig_125	1457	32	N	Y	16	*	125
contig_304	1439	55	N	Y	7	*	304
contig_364	1431	64	N	Y	1	*	364
contig_6	1427	267	N	Y	53	*	6
contig_205	1416	78	N	Y	39	*	205
contig_627	1414	60	N	Y	7	*	627
contig_199	1366	10	N	Y	1	*	199
contig_51	1354	141	N	Y	23	*	51
contig_88	1349	15	N	Y	1	*	88
contig_219	1347	337	N	Y	18	*	219
contig_363	1322	15	N	Y	3	*	363
contig_318	1304	19	N	Y	9	*	318
contig_354	1301	16	N	Y	5	*	354
contig_249	1280	152	N	Y	15	*	249
contig_402	1278	9	N	Y	4	*	402
contig_85	1273	35	N	Y	1	*	85
contig_92	1265	92	N	Y	46	*	92
contig_245	1251	21	N	Y	1	*	245
contig_404	1236	15	N	Y	7	*	404
contig_227	1221	90	N	Y	2	*	227
contig_221	1210	65	N	Y	2	*	221
contig_179	1205	64	N	Y	8	*	179
contig_430	1192	10	N	Y	5	*	430
contig_170	1159	10	N	Y	3	*	170
contig_460	1156	10	N	Y	5	*	460
contig_416	1147	10	N	Y	3	*	416
contig_79	1146	48	N	Y	24	*	79
contig_449	1138	10	N	Y	5	*	449
contig_387	1138	10	N	Y	1	*	387
contig_421	1133	10	N	Y	2	*	421
contig_202	1128	153	N	Y	12	*	202
contig_395	1102	9	N	Y	2	*	395
contig_47	1100	102	N	Y	6	*	47
contig_154	1099	88	N	Y	7	*	154
contig_186	1093	11	N	Y	5	*	186
contig_281	1085	30	N	Y	7	*	281
contig_457	1084	10	N	Y	3	*	457
contig_344	1082	9	N	Y	1	*	344
contig_393	1079	9	N	Y	4	*	393
contig_396	1076	9	N	Y	1	*	396
contig_341	1072	19	N	Y	6	*	341
contig_428	1066	30	N	Y	1	*	428
contig_385	1063	49	N	Y	24	*	385
contig_405	1059	21	N	Y	10	*	405
contig_383	1058	10	N	Y	1	*	383
contig_231	1042	23	N	Y	2	*	231
contig_209	1041	9	N	Y	3	*	209
contig_65	1032	13	N	Y	2	*	65
contig_591	1027	12	N	Y	2	*	591
contig_54	995	10	N	Y	1	*	54
contig_250	981	21	N	Y	4	*	250
contig_587	980	41	N	Y	1	*	587
contig_7	972	10	N	Y	1	*	7
contig_367	953	21	N	N	1	*	*,367,*
contig_33	951	1102	N	Y	157	*	33
contig_4	926	9	N	Y	1	*	4
contig_397	918	29	N	Y	7	*	397
contig_348	886	41	N	Y	2	*	348
contig_126	885	14	N	Y	4	*	126
contig_95	880	301	N	Y	25	*	95
contig_213	874	208	N	Y	13	*	213
contig_412	874	9	N	Y	1	*	412
contig_8	871	965	N	Y	241	*	8
contig_350	865	421	N	Y	12	*	350
contig_139	865	10	N	Y	1	*	139
contig_454	862	10	N	Y	1	*	454
contig_156	855	27	N	Y	6	*	156
contig_133	855	9	N	Y	1	*	133
contig_382	850	9	N	Y	1	*	382
contig_332	845	74	N	Y	4	*	332
contig_240	842	94	N	Y	3	*	240
contig_246	841	12	N	Y	1	*	246
contig_435	840	14	N	Y	1	*	435
contig_448	833	11	N	Y	1	*	448
contig_258	832	16	N	Y	8	*	258
contig_475	829	230	N	Y	8	*	475
contig_29	818	115	N	Y	19	*	29
contig_106	807	15	N	Y	5	*	106
contig_431	803	19	N	Y	1	*	431
contig_459	801	11	N	Y	2	*	459
contig_25	800	135	N	Y	67	*	25
contig_557	790	10	N	Y	1	*	557
contig_386	790	10	N	Y	1	*	386
contig_113	774	162	N	Y	7	*	113
contig_453	769	18	N	Y	1	*	453
contig_294	768	10	N	Y	1	*	294
contig_267	768	14	N	Y	1	*	267
contig_269	765	15	N	Y	1	*	269
contig_271	748	236	N	Y	39	*	271
contig_78	742	833	N	Y	92	*	78
contig_413	726	9	N	Y	1	*	413
contig_384	726	9	N	Y	1	*	384
contig_346	707	128	N	Y	3	*	346
contig_99	706	146	N	Y	4	*	99
contig_171	697	17	N	Y	4	*	171
contig_340	696	12	N	Y	1	*	340
contig_455	686	9	N	Y	1	*	455
contig_237	680	17	N	Y	5	*	237
contig_158	680	248	N	Y	35	*	158
contig_63	678	9	N	Y	1	*	63
contig_48	677	92	N	Y	11	*	48
contig_284	676	23	N	Y	1	*	284
contig_56	673	55	N	Y	1	*	56
contig_462	662	9	N	Y	1	*	462
contig_400	659	9	N	Y	1	*	400
contig_450	652	9	N	Y	1	*	450
contig_203	652	9	N	Y	1	*	203
contig_436	648	9	N	Y	1	*	436
contig_264	639	10	N	Y	1	*	264
contig_327	634	10	N	Y	1	*	327
contig_74	634	9	N	Y	1	*	74
contig_2	628	10	N	Y	1	*	2
contig_129	616	969	N	Y	20	*	129
contig_409	606	9	N	Y	1	*	409
contig_193	602	68	N	Y	34	*	193
contig_173	600	10	N	Y	1	*	173
contig_343	599	11	N	Y	1	*	343
contig_306	594	138	N	Y	11	*	306
contig_442	593	9	N	Y	1	*	442
contig_21	591	75	N	Y	2	*	21
contig_621	586	567	N	Y	16	*	621
contig_225	582	38	N	Y	1	*	225
contig_433	582	10	N	Y	1	*	433
contig_411	578	9	N	Y	2	*	411
contig_160	577	9	N	Y	1	*	160
contig_558	572	26	N	Y	1	*	558
contig_296	571	11	N	Y	2	*	296
contig_140	571	9	N	Y	1	*	140
contig_182	569	10	N	Y	1	*	182
contig_265	559	143	N	Y	3	*	265
contig_114	557	10	N	Y	5	*	114
contig_307	552	171	N	Y	5	*	307
contig_388	550	9	N	Y	1	*	388
contig_589	549	18	N	Y	2	*	589
contig_35	536	77	N	Y	25	*	35
contig_439	531	11	N	Y	1	*	439
contig_94	531	23	N	Y	1	*	94
contig_32	525	29	N	Y	9	*	32
contig_473	512	16	N	Y	1	*	473
contig_289	505	18	N	Y	1	*	289
contig_559	501	9	N	Y	1	*	559
contig_194	492	10	N	Y	1	*	194
contig_410	491	10	N	Y	1	*	410
contig_503	486	9	N	Y	1	*	503
contig_408	485	9	N	Y	1	*	408
contig_40	478	98	N	Y	2	*	40
contig_20	453	73	N	Y	1	*	20
contig_89	444	10	N	Y	1	*	89
contig_107	417	1152	N	Y	27	*	107
contig_407	405	10	N	Y	1	*	407
contig_321	400	13	N	Y	1	*	321
contig_9	362	9	N	Y	1	*	9
contig_189	356	10	N	Y	1	*	189
contig_46	210	15	N	Y	1	*	46
