Rname	Rclass	Rfam	[0;1[	[1;2[	[2;3[	[3;4[	[4;5[	[5;6[	[6;7[	[7;8[	[8;9[	[9;10[	[10;11[	[11;12[	[12;13[	[13;14[	[14;15[	[15;16[	[16;17[	[17;18[	[18;19[	[19;20[	[20;21[	[21;22[	[22;23[	[23;24[	[24;25[	[25;26[	[26;27[	[27;28[	[28;29[	[29;30[	[30;31[	[31;32[	[32;33[	[33;34[	[34;35[	[35;36[	[36;37[	[37;38[	[38;39[	[39;40[	[40;41[	[41;42[	[42;43[	[43;44[	[44;45[	[45;46[	[46;47[	[47;48[	[48;49[	[49;50[
TE_00000826	MITE	Tourist	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000864	DNAauto	CACTA	1343	365	51	137	209	112	65	106	276	349	156	301	0	185	419	142	165	74	108	73	0	0	178	106	0	0	150	319	0	75	209	97	344	1380	664	546	514	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000488	DNA	Helitron	2610	0	0	0	5188	0	0	1745	2014	853	37	0	0	0	0	188	0	0	0	0	0	0	0	0	0	0	0	0	0	335	0	0	517	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000700_INT	LTR	Gypsy	4202	0	0	183	0	0	0	0	0	1562	0	2907	1854	3939	0	48	0	0	133	133	0	0	664	0	0	0	0	0	0	0	0	0	989	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00001210	DNAauto	CACTA	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00001223	DNAauto	MULE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00001607_INT	LTR	Gypsy	10710	289	762	3338	5289	34	791	7701	1193	2754	0	0	174	0	0	0	0	191	2780	2211	4694	989	368	0	2967	2597	0	590	0	0	0	1510	0	0	0	172	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00001312_INT	LTR	Gypsy	788	0	0	0	0	0	44	241	68	771	0	0	440	528	130	764	607	677	90	418	723	0	0	350	0	0	0	0	303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000081	DNA	Helitron	7267	1937	0	97	0	0	0	0	0	0	0	0	0	95	0	0	0	250	64	0	0	0	57	0	0	1253	630	535	2766	1648	0	0	0	651	155	564	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00001193	DNAnona	MULE	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00001550_LTR	LTR	unknown	514	0	0	0	0	0	0	0	0	0	0	0	0	226	0	0	0	216	0	0	283	261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000986	DNAauto	CACTG	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	282	427	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000058	DNA	Helitron	896	1617	0	0	0	71	96	306	0	0	108	94	83	0	75	0	125	69	160	109	95	182	173	0	95	0	0	166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000343	DNA	Helitron	906	0	0	0	0	0	0	1681	0	1750	978	579	670	1520	1851	365	106	186	701	90	461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000153	DNA	Helitron	7287	192	0	0	0	0	543	0	628	1284	491	501	693	0	459	0	181	143	0	0	287	452	0	0	0	0	382	0	0	0	0	0	770	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000295	DNA	Helitron	0	13916	0	495	0	0	0	0	1800	0	0	0	0	843	0	0	1370	0	0	0	1506	2716	2432	0	0	0	784	791	0	0	0	0	0	924	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00001677_INT	LTR	Copia	0	0	0	0	0	0	0	0	4609	0	0	0	0	0	0	325	0	80	0	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00001720_INT	LTR	Gypsy	0	0	0	219	864	0	724	0	0	0	0	660	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000998_INT	LTR	Gypsy	3852	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	1607	0	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000244_INT	LTR	unknown	4528	7254	36652	1707	634	3055	0	281	0	0	0	373	0	0	0	0	68	0	207	0	28	0	0	0	0	0	387	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00001167	DNAauto	MLE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98	0	0	0	0	281	0	0	0	0	0	0	0	0	0	479	514	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00001373_INT	LTR	Copia	1389	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000234_LTR	LTR	Gypsy	372	361	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	304	283	0	0	0	0	0	0	263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000240_LTR	LTR	Copia	405	0	0	0	0	430	0	0	37	0	0	0	0	0	0	53	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000214	DNA	Helitron	9481	153	0	0	0	0	235	0	433	0	0	0	185	0	57	0	0	101	0	111	281	0	234	0	99	452	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000662_LTR	LTR	Gypsy	502	0	0	0	1002	41	0	0	0	607	0	0	544	0	0	69	650	1145	1645	490	0	982	1985	2531	946	0	317	0	974	485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000099	DNA	Helitron	6808	98	0	0	0	0	0	0	0	0	0	0	0	0	42	200	0	0	201	0	102	492	134	814	452	685	256	622	1142	1385	1282	529	422	487	0	143	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000233	DNA	Helitron	2787	0	0	0	0	0	0	0	0	104	195	0	0	471	0	698	0	0	70	67	714	3098	2621	146	229	24	19	0	0	0	0	182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000218	DNA	Helitron	6917	620	100	0	0	0	0	70	0	0	0	0	0	0	0	0	89	0	0	56	0	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000207	DNA	Helitron	8099	9745	5536	5212	1782	6524	10714	13570	10741	4565	3891	2569	2654	367	301	1936	338	1812	2188	4724	13479	11203	22171	10446	6995	5668	1963	2736	5805	2950	4115	7587	9461	12906	6884	4521	2612	85	0	0	0	0	0	0	0	0	0	0	0	0
TE_00001189_LTR	LTR	Gypsy	1793	0	0	1885	1239	18312	36903	4932	15864	19602	12230	15624	17006	24614	21123	15378	7791	3144	4654	3147	3711	3030	3597	1418	215	1272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000623_INT	LTR	Gypsy	4315	0	0	0	0	0	0	0	34	0	0	53	0	0	0	0	0	0	0	0	0	0	0	114	0	0	0	0	0	0	243	55	139	306	928	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00001067	DNAauto	CACTG	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	56	126	0	0	0	78	0	80	0	0	144	0	0	0	63	0	208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000213	DNA	Helitron	8137	0	0	0	0	53	118	0	0	0	121	0	310	377	0	279	510	530	514	490	492	336	119	0	355	120	132	516	228	137	204	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000120	DNA	Helitron	13796	0	0	0	0	0	0	0	0	42	171	0	90	0	0	221	693	486	965	777	0	76	654	233	362	1349	1028	425	826	2345	2377	991	0	670	0	0	226	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000513_LTR	LTR	Copia	140	0	0	0	140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000118	DNA	Helitron	9663	0	0	0	42	0	61	222	0	0	43	0	0	37	385	0	355	313	134	231	135	222	323	436	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00001377_INT	LTR	Copia	5462	125	0	204	18126	5266	4147	749	0	0	54	0	4503	684	927	2561	0	0	136	73	247	0	0	0	0	0	0	0	0	0	708	0	0	329	0	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000289_LTR	LTR	Copia	180	180	0	0	0	0	0	0	0	181	0	0	0	0	0	0	0	0	0	0	0	0	133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000003	DNAauto	hAT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	0	0	0	0	0	0	167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000893	DNA	Helitron	0	0	0	0	0	0	122	0	0	0	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000385_LTR	LTR	unknown	269	1267	583	0	0	0	306	652	83	264	267	0	0	255	582	110	451	306	0	0	0	95	0	76	113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000051	DNA	Helitron	5213	82	123	87	177	108	0	97	0	94	90	298	40	233	139	523	186	0	0	1204	413	495	413	0	901	504	1239	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00001608_INT	LTR	Gypsy	1106	366	1497	65	147	1240	2995	15217	9172	6431	8737	4836	7075	6250	4552	4428	3447	252	1114	1590	5374	965	1151	158	422	0	654	850	0	1654	1003	102	0	529	0	325	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00001489_LTR	LTR	Copia	410	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	156	157	339	0	392	0	0	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000262_LTR	LTR	Gypsy	432	0	0	432	0	0	0	863	0	0	949	0	618	0	0	0	0	0	0	0	0	0	0	934	368	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00001595	DNA	Helitron	0	0	0	0	0	0	1329	0	1087	0	159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000948	DNAauto	POLE	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	1373	0	935	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00001422_LTR	LTR	unknown	381	0	0	361	0	0	0	0	0	0	0	0	0	270	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000675_LTR	LTR	Gypsy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	173	0	185	222	0	690	181	0	378	0	0	288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000131	DNA	Helitron	11341	3740	380	1583	1312	2498	4235	2305	2896	733	2161	1986	1515	3543	4148	2942	2114	2087	4099	2843	5557	8251	8943	2098	2792	3323	1547	980	520	421	1033	506	0	230	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000495	DNAauto	MULE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000881	DNAauto	CACTA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	115	0	0	0	507	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00001181	DNAauto	hAT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	102	0	0	0	0	1896	0	296	122	141	123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00001141_INT	LTR	Gypsy	5359	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	170	525	0	2556	0	534	400	2760	1234	0	0	1248	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000832_LTR	LTR	Gypsy	795	184	0	0	0	0	0	0	0	0	0	0	0	264	242	0	90	0	0	0	0	0	0	147	0	1095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000794_LTR	LTR	Copia	234	234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00001341_INT	LTR	Gypsy	4272	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000139	DNA	Helitron	11040	5377	823	2254	11623	12179	10035	11382	3065	13949	10112	3061	4486	3553	2927	1531	77	2509	1969	1527	524	835	923	673	911	1202	1810	11	129	149	0	2139	730	843	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00001215	DNA	Helitron	12452	0	0	0	0	92	92	406	0	86	6871	3233	2560	0	162	231	2226	0	0	512	849	0	2591	646	0	827	1388	1332	365	9141	177	2707	563	578	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000260_LTR	LTR	Copia	326	0	163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000936	DNAauto	MULE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89	0	0	0	81	0	0	0	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00001755_LTR	LTR	Copia	490	0	0	0	486	0	0	0	0	0	0	0	476	0	0	193	0	0	0	391	0	0	0	438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000854	DNA	Helitron	1078	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90	0	0	0	0	133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00001010	DNA	Helitron	7412	0	0	0	46	1558	396	1426	398	980	91	2696	1884	578	994	899	1191	461	911	847	1045	1124	737	706	0	391	380	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00001427_INT	LTR	Gypsy	8561	0	0	0	50	0	57	3095	0	0	5310	11335	0	0	0	88	10115	0	0	1682	0	3247	0	0	3702	2708	0	0	0	3686	0	0	327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000085	DNA	Helitron	8319	1665	213	0	49	227	0	106	247	0	369	630	1025	235	827	1864	958	678	87	238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00001465	DNA	Helitron	544	0	0	0	1153	0	628	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00001321	DNAnona	hAT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00001570_INT	LTR	unknown	4206	0	0	0	0	0	31	0	0	318	0	3498	902	907	0	795	0	0	208	0	138	210	386	951	514	0	611	297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000717_INT	LTR	Gypsy	0	0	4557	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	278	664	951	798	975	0	2627	2770	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000877	DNAauto	MULE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000065	DNA	Helitron	4995	0	133	744	84	83	0	0	775	100	196	0	29	117	509	460	107	350	163	321	281	242	131	199	0	27	286	0	77	0	105	92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000216	DNA	Helitron	7310	74	42	0	0	0	88	80	0	0	0	0	0	0	12	0	0	0	0	0	0	74	109	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00001398	DNA	Helitron	0	3755	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000611	DNAnona	hAT	0	0	0	0	0	0	0	0	0	0	0	0	0	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00001078_INT	LTR	Gypsy	4881	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	452	3097	0	834	0	0	0	712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000150	DNA	Helitron	11876	0	246	433	490	1260	509	328	501	0	250	487	0	2231	239	608	0	425	236	259	312	216	69	0	226	0	86	305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00001450	DNAnona	MULE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000987	DNAauto	MULE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93	0	0	393	0	236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000898_LTR	LTR	Copia	766	383	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	127	0	0	580	0	360	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00001406_INT	LTR	Gypsy	3323	0	88	0	0	115	1009	969	2675	1042	693	493	407	2254	2173	175	1055	2911	2123	162	199	812	86	399	261	2447	959	317	2941	1169	548	1630	1170	0	1093	247	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000450	DNAnona	hAT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	112	76	0	0	0	173	0	208	0	0	238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00001639_INT	LTR	Copia	4404	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94	0	0	0	85	0	0	0	0	0	0	0	0	0	0	349	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00001671_INT	LTR	unknown	4442	53	12968	17663	5030	2190	600	30	0	2	0	0	0	0	144	60	51	0	326	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000680	DNAnona	MULE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000299	DNA	Helitron	1161	463	0	0	0	0	198	779	338	1729	888	59	691	601	187	674	0	525	383	319	661	92	348	193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00001048_INT	LTR	Copia	5652	0	0	0	0	0	0	0	7671	708	990	0	1540	0	0	0	0	0	0	0	0	0	0	0	0	0	0	585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
